"pa","lon","lat"
"0",-39.5874999995256,-11.4458333336249
"0",-39.5291666661882,-11.4458333336249
"0",-40.7874999996073,-11.4541666669578
"0",-40.4874999995869,-11.4541666669578
"0",-39.8791666662121,-11.4541666669578
"0",-39.2708333328373,-11.4541666669578
"0",-38.8958333328118,-11.4541666669578
"0",-40.72916666627,-11.4625000002908
"0",-40.4708333329191,-11.4708333336238
"0",-39.9374999995494,-11.4708333336238
"0",-39.129166666161,-11.4708333336238
"0",-38.4624999994489,-11.4708333336238
"0",-40.645833332931,-11.4791666669567
"0",-38.8541666661422,-11.4791666669567
"0",-40.0874999995596,-11.4875000002897
"0",-39.5124999995204,-11.4875000002897
"0",-38.6958333327981,-11.4875000002897
"0",-38.3124999994387,-11.4875000002897
"0",-38.3041666661048,-11.4875000002897
"0",-39.8624999995443,-11.4958333336227
"0",-39.1624999994966,-11.4958333336227
"0",-38.5708333327896,-11.4958333336227
"0",-40.6708333329327,-11.5041666669556
"0",-39.1458333328288,-11.5041666669556
"0",-39.6291666661951,-11.5125000002886
"0",-38.7708333328032,-11.5125000002886
"0",-40.7958333329412,-11.5208333336216
"0",-40.2958333329072,-11.5208333336216
"0",-40.1708333328986,-11.5208333336216
"0",-38.9791666661508,-11.5208333336216
"0",-39.804166666207,-11.5291666669545
"0",-38.5791666661235,-11.5291666669545
"0",-39.2708333328373,-11.5375000002875
"0",-38.962499999483,-11.5375000002875
"0",-39.9208333328816,-11.5458333336205
"0",-39.720833332868,-11.5458333336205
"0",-38.6291666661269,-11.5458333336205
"0",-38.4458333327811,-11.5458333336205
"0",-40.7874999996073,-11.5541666669535
"0",-40.6958333329344,-11.5541666669535
"0",-40.2124999995681,-11.5541666669535
"0",-39.2124999995,-11.5541666669535
"0",-40.5291666662564,-11.5625000002864
"0",-40.1208333328952,-11.5625000002864
"0",-39.2291666661678,-11.5625000002864
"0",-39.1874999994983,-11.5625000002864
"0",-38.6624999994625,-11.5625000002864
"0",-40.8374999996107,-11.5708333336194
"0",-40.3708333329123,-11.5708333336194
"0",-40.2458333329038,-11.5708333336194
"0",-39.9791666662189,-11.5708333336194
"0",-39.4541666661831,-11.5708333336194
"0",-38.5708333327896,-11.5708333336194
"0",-40.4458333329174,-11.5791666669524
"0",-39.804166666207,-11.5791666669524
"0",-39.7124999995341,-11.5791666669524
"0",-39.0624999994898,-11.5791666669524
"0",-38.9374999994813,-11.5791666669524
"0",-38.704166666132,-11.5791666669524
"0",-40.1291666662291,-11.5875000002853
"0",-40.0124999995545,-11.5875000002853
"0",-39.7541666662036,-11.5875000002853
"0",-39.637499999529,-11.5875000002853
"0",-39.0291666661542,-11.5875000002853
"0",-40.1458333328969,-11.5958333336183
"0",-38.8874999994779,-11.5958333336183
"0",-38.787499999471,-11.5958333336183
"0",-38.6374999994608,-11.5958333336183
"0",-40.4291666662496,-11.6041666669513
"0",-39.4124999995136,-11.6041666669513
"0",-39.3124999995068,-11.6041666669513
"0",-40.4374999995835,-11.6125000002842
"0",-40.2374999995698,-11.6125000002842
"0",-40.0874999995596,-11.6125000002842
"0",-39.9124999995477,-11.6125000002842
"0",-39.3374999995085,-11.6125000002842
"0",-38.6124999994591,-11.6125000002842
"0",-38.4458333327811,-11.6125000002842
"0",-40.7791666662734,-11.6208333336172
"0",-39.0374999994881,-11.6208333336172
"0",-38.5791666661235,-11.6208333336172
"0",-40.6041666662615,-11.6291666669502
"0",-40.5374999995903,-11.6291666669502
"0",-40.4041666662479,-11.6291666669502
"0",-40.1458333328969,-11.6291666669502
"0",-39.7958333328731,-11.6291666669502
"0",-39.6624999995307,-11.6291666669502
"0",-39.3124999995068,-11.6291666669502
"0",-38.5958333327913,-11.6291666669502
"0",-40.2874999995733,-11.6375000002831
"0",-39.2291666661678,-11.6375000002831
"0",-38.7208333327998,-11.6375000002831
"0",-38.6791666661303,-11.6375000002831
"0",-40.3541666662445,-11.6458333336161
"0",-40.1291666662291,-11.6458333336161
"0",-39.545833332856,-11.6458333336161
"0",-39.462499999517,-11.6458333336161
"0",-38.5708333327896,-11.6458333336161
"0",-39.7291666662019,-11.6541666669491
"0",-39.4958333328526,-11.6541666669491
"0",-40.8291666662768,-11.662500000282
"0",-40.5874999995937,-11.662500000282
"0",-40.1874999995664,-11.662500000282
"0",-39.9541666662172,-11.662500000282
"0",-39.2874999995051,-11.662500000282
"0",-38.787499999471,-11.662500000282
"0",-40.4124999995818,-11.670833333615
"0",-39.4958333328526,-11.670833333615
"0",-38.9208333328135,-11.670833333615
"0",-40.9124999996158,-11.6875000002809
"0",-39.9958333328867,-11.6875000002809
"0",-39.6291666661951,-11.6875000002809
"0",-38.8458333328083,-11.6875000002809
"0",-40.2041666662342,-11.6958333336139
"0",-39.9291666662155,-11.7041666669469
"0",-39.5208333328543,-11.7041666669469
"0",-40.6208333329293,-11.7125000002798
"0",-40.6041666662615,-11.7125000002798
"0",-38.704166666132,-11.7125000002798
"0",-38.5708333327896,-11.7125000002798
"0",-38.5208333327862,-11.7125000002798
"0",-39.9541666662172,-11.7208333336128
"0",-41.1374999996312,-11.7291666669458
"0",-40.6041666662615,-11.7291666669458
"0",-40.4708333329191,-11.7291666669458
"0",-39.9041666662138,-11.7291666669458
"0",-39.7874999995392,-11.7375000002788
"0",-39.5791666661917,-11.7375000002788
"0",-39.1958333328322,-11.7375000002788
"0",-40.7208333329361,-11.7458333336117
"0",-40.3624999995784,-11.7458333336117
