"species","year","base","longitude","latitude","state"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-39.059849","-15.174162","Bahia"
"Bradypus torquatus",2013,"Dataset - Neotropical Xenarthrans","-39.007465","-15.162254","Bahia"
"Bradypus torquatus",2013,"Dataset - Neotropical Xenarthrans","-39.06408","-15.250947","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.2006","-17.5308","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.3914","-15.1969","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.8867","-15.8478","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.3217","-14.9678","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.5011","-15.4114","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.9511","-15.6869","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.3839","-15.83","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.2514","-17.7239","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.0435","-11.9436","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.4758","-13.7436","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.585","-14.8497","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0975","-14.7889","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0456","-14.8042","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0728","-14.6397","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.1678","-14.7697","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.1606","-14.6075","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.2258","-14.7792","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.2925","-14.7911","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.2839","-14.8331","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0119","-14.1081","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.3039","-12.5094","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.5638","-17.758","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.6361","-15.4511","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0731","-16.4472","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.4547","-12.8769","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.4575","-12.8797","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.4658","-12.8881","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.4178","-12.8872","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0411","-16.2939","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.2742","-15.4361","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.4269","-13.047","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-37.6547","-11.9276","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.7378","-13.5506","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0586","-15.1711","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0425","-15.1889","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0367","-15.18","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0881","-15.3203","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0494","-15.2589","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.2833","-14.6","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0881","-13.3239","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.3009","-14.8049","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-37.55","-11.3","Sergipe"
"Bradypus torquatus",2013,"Dataset - Neotropical Xenarthrans","-39.057213","-15.167155","Bahia"
"Bradypus torquatus",2017,"Dataset - Neotropical Xenarthrans","-39.231679","-14.756631","Bahia"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.13826509","-10.83825226","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.13830803","-10.83828348","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.13807947","-10.8382667","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.13844563","-10.83832585","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.13910379","-10.83829522","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.13922931","-10.83799618","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.1423967","-10.84162728","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.14240162","-10.84137659","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.14253504","-10.84130022","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.14223238","-10.84125036","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.13877765","-10.84077476","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.14337393","-10.84254556","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.14396004","-10.84365078","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.14247224","-10.84399729","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.142802","-10.84442985","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.1437462","-10.84405912","Sergipe"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-37.507033","-11.334303","Sergipe"
"Bradypus torquatus",1983,"Dataset - Neotropical Xenarthrans","-39.07527778","-15.29333333","Bahia"
"Bradypus torquatus",2006,"PortalBio do ICMBio: Sisbio-Dibio","-39.058611","-15.171111","Bahia"
"Bradypus torquatus",2006,"PortalBio do ICMBio: Sisbio-Dibio","-39.058611","-15.171111","Bahia"
"Bradypus torquatus",2006,"PortalBio do ICMBio: Sisbio-Dibio","-39.0425","-15.188889","Bahia"
"Bradypus torquatus",2011,"PortalBio do ICMBio: Sisbio-Dibio","-38.508942","-13.004775","Bahia"
"Bradypus torquatus",2006,"PortalBio do ICMBio: Sisbio-Dibio","-39.058611","-15.171111","Bahia"
"Bradypus torquatus",2006,"PortalBio do ICMBio: Sisbio-Dibio","-39.0425","-15.188889","Bahia"
"Bradypus torquatus",2007,"PortalBio do ICMBio: Sisbio-Dibio","-39.028136","-14.829481","Bahia"
"Bradypus torquatus",2009,"PortalBio do ICMBio: Sisbio-Dibio","-38.511781","-13.006058","Bahia"
"Bradypus torquatus",2011,"PortalBio do ICMBio: Sisbio-Dibio","-39.222778","-14.785278","Bahia"
