"species","year","base","longitude","latitude","state"
"Bradypus crinitus",2009,"specieslink","-40.66666","-20.4","Espírito Santo"
"Bradypus crinitus",1991,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-41.01106","-20.43021","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-41.00322","-20.43595","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-41.02582","-20.42245","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-40.99469","-20.43548","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-41.11018","-20.53651","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-41.10731","-20.53016","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-41.11538","-20.51742","Espírito Santo"
"Bradypus crinitus",2017,"Dataset - Neotropical Xenarthrans","-40.52362","-20.27676","Espírito Santo"
"Bradypus crinitus",2015,"Dataset - Neotropical Xenarthrans","-40.982627","-20.081553","Espírito Santo"
"Bradypus crinitus",2015,"Dataset - Neotropical Xenarthrans","-40.993417","-20.101673","Espírito Santo"
"Bradypus crinitus",2015,"Dataset - Neotropical Xenarthrans","-40.975984","-20.058758","Espírito Santo"
"Bradypus crinitus",2015,"Dataset - Neotropical Xenarthrans","-40.98955","-20.097517","Espírito Santo"
"Bradypus crinitus",2015,"Dataset - Neotropical Xenarthrans","-40.991176","-20.098312","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.624619","-22.305633","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.95230833","-22.45142778","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.59","-19.93","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-41.78694444","-22.37083333","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.07222222","-19.39111111","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.27333333","-19.82027778","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.68305556","-20.41277778","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.25","-19.8","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.59","-19.93","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.87","-19.87","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.43","-22.62","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.05901391","-19.39926707","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.56218324","-19.90571058","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.33694248","-20.29769444","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-41.84616","-21.870509","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.53111111","-22.28194444","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.95230833","-22.45142778","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.60027778","-19.93555556","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.36972222","-19.83194444","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-41.05111111","-21.64027778","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.16138889","-22.82333333","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.68305556","-20.41277778","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.25","-19.8","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.59","-19.93","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.87","-19.87","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.43","-22.62","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-39.88080263","-19.67112921","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.60166072","-19.93613788","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.03916345","-22.42512542","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.550833","-19.8825","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-41.889381","-22.432986","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-41.033333","-21.75","Rio de Janeiro"
"Bradypus crinitus",1996,"Dataset - Neotropical Xenarthrans","-40.66666667","-20.4","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.026667","-22.4375","Rio de Janeiro"
"Bradypus crinitus",2009,"Dataset - Neotropical Xenarthrans","-42.02667","-22.4375","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.02667","-22.4375","Rio de Janeiro"
"Bradypus crinitus",2009,"Dataset - Neotropical Xenarthrans","-42.0045","-22.30314","Rio de Janeiro"
